fishery,management_area,target,opening_year,stat_area,vessels,landings,live_number,live_lbs,deadloss_number,deadloss_lbs,effort
QO19,bering_sea,snow_crab,2019,655530,1,1,0,0,NA,NA,19
QO19,bering_sea,snow_crab,2019,655600,1,1,0,0,NA,NA,19
QO19,bering_sea,snow_crab,2019,665500,1,1,0,0,NA,NA,3
QO19,bering_sea,snow_crab,2019,665530,2,2,711,824.98,6,6.08,102
QO19,bering_sea,snow_crab,2019,665600,1,2,150,178,2,2,36
QO19,bering_sea,snow_crab,2019,675500,1,3,291,346,4,4,5
QO19,bering_sea,snow_crab,2019,675530,4,4,6135,7356.48,59,72.64,120
QO19,bering_sea,snow_crab,2019,675600,16,34,246338,299410.74,3568,4276.38,3024
QO19,bering_sea,snow_crab,2019,675630,11,17,28358,34117.09,448,543.18,600
QO19,bering_sea,snow_crab,2019,675700,1,2,115,149,2,2,16
QO19,bering_sea,snow_crab,2019,685500,1,1,0,0,NA,NA,2
QO19,bering_sea,snow_crab,2019,685530,2,2,1564,1758.2,22,24.08,18
QO19,bering_sea,snow_crab,2019,685600,17,39,223205,262515.24,5897,6754.12,2681
QO19,bering_sea,snow_crab,2019,685630,17,46,932766,1152192.48,10213,12531.25,9909
QO19,bering_sea,snow_crab,2019,695600,1,1,0,0,NA,NA,10
QO19,bering_sea,snow_crab,2019,695800,1,1,1167,1294.8,5,4.8,98
QO19,bering_sea,snow_crab,2019,705600,5,6,366,429.7,2,1.54,65
QO19,bering_sea,snow_crab,2019,705630,8,9,13246,15575,146,173.9,355
QO19,bering_sea,snow_crab,2019,705800,1,1,1458,1618.5,5,6,62
QO19,bering_sea,snow_crab,2019,715600,7,11,9340,10839.44,95,109.79,152
QO19,bering_sea,snow_crab,2019,715630,43,152,4197563,4729194.86,37166,42286.52,29137
QO19,bering_sea,snow_crab,2019,715700,38,139,2861052,3307660.76,35675,40952.55,19709
QO19,bering_sea,snow_crab,2019,715730,36,110,2659377,2996920.74,38412,42917.73,14852
QO19,bering_sea,snow_crab,2019,715800,21,48,1418728,1583516.24,33865,37465.57,9287
QO19,bering_sea,snow_crab,2019,715830,6,14,35120,40995.64,475,552.12,278
QO19,bering_sea,snow_crab,2019,725600,2,5,4945,5686.86,26,29.61,35
QO19,bering_sea,snow_crab,2019,725630,37,99,2644673,3018688.2,25262,28803.61,15228
QO19,bering_sea,snow_crab,2019,725700,39,140,2781701,3217801.52,30850,35621.42,20067
QO19,bering_sea,snow_crab,2019,725730,41,121,3007622,3456310.73,35896,40893.96,19199
QO19,bering_sea,snow_crab,2019,725800,17,45,974714,1118705.34,24082,26934.8,6881
QO19,bering_sea,snow_crab,2019,725830,7,13,61545,70247.42,1071,1209.02,489
QO19,bering_sea,snow_crab,2019,725900,1,1,118,150,2,2,11
QO19,bering_sea,snow_crab,2019,735630,1,3,6090,7001,103,118,20
QO19,bering_sea,snow_crab,2019,735700,8,10,3873,4685.72,48,56.62,110
QO19,bering_sea,snow_crab,2019,735730,15,27,375027,489778.21,4342,5641.21,2798
QO19,bering_sea,snow_crab,2019,735800,14,22,381781,470225.62,5424,6494.85,2872
QO19,bering_sea,snow_crab,2019,735830,7,9,55823,71171.42,494,623,684
QO19,bering_sea,snow_crab,2019,735900,4,5,8616,11517,83,106,174
QO19,bering_sea,snow_crab,2019,745700,1,2,330,374,2,2,6
QO19,bering_sea,snow_crab,2019,745800,6,9,25032,30975.78,199,247.19,262
QO19,bering_sea,snow_crab,2019,745830,8,11,241698,326582.28,2379,3205.92,2439
QO19,bering_sea,snow_crab,2019,745900,3,4,473,621,5,5,150
QO19,bering_sea,snow_crab,2019,745930,7,8,97913,132236.57,541,723.18,670
QO19,bering_sea,snow_crab,2019,755830,3,3,13,16,NA,NA,164
QO19,bering_sea,snow_crab,2019,755900,6,10,155793,220262.81,1402,1979.99,987
QO19,bering_sea,snow_crab,2019,755930,20,55,2761405,3832303.13,33977,44290.06,16094
QO19,bering_sea,snow_crab,2019,756000,14,31,443414,576074.66,5493,7177.44,1781
QO19,bering_sea,snow_crab,2019,765830,1,1,2,3,NA,NA,17
QO19,bering_sea,snow_crab,2019,765900,1,2,0,0,NA,NA,68
QO19,bering_sea,snow_crab,2019,765930,12,26,196821,262505.2,2471,3313.8,1171
QO19,bering_sea,snow_crab,2019,766000,14,36,1403219,1836392.64,15981,20908.07,5925
QO19,bering_sea,snow_crab,2019,775900,1,2,1,2,NA,NA,46
QO19,bering_sea,snow_crab,2019,776000,2,3,220,266,2,2,51
